"group","lon","lat","species","subspecies","ID"
"Gulf",-97.7433014,27.3351751,"rufivirgatus","ruf_rufivirgatus",50490
"Gulf",-98.1266547,26.068235,"rufivirgatus","ruf_rufivirgatus",50839
"Gulf",-97.6153225,26.7196717,"rufivirgatus","ruf_rufivirgatus",52032
"Gulf",-97.3296319,27.6499912,"rufivirgatus","ruf_rufivirgatus",48534
"Gulf",-97.3864619,26.271678,"rufivirgatus","ruf_rufivirgatus",48584
"Gulf",-97.3138046,26.1945686,"rufivirgatus","ruf_rufivirgatus",50693
"Gulf",-97.7009332,28.4817184,"rufivirgatus","ruf_rufivirgatus",52281
"Gulf",-99.7294047,29.5621367,"rufivirgatus","ruf_rufivirgatus",48304
"Gulf",-99.1118288,26.5511421,"rufivirgatus","ruf_rufivirgatus",48523
"Gulf",-97.7426147,26.8020093,"rufivirgatus","ruf_rufivirgatus",48731
"Gulf",-97.2233391,28.0801592,"rufivirgatus","ruf_rufivirgatus",51466
"Gulf",-99.4801068,29.3412636,"rufivirgatus","ruf_rufivirgatus",48434
"Gulf",-97.4054208,27.7927022,"rufivirgatus","ruf_rufivirgatus",48573
"Gulf",-99.4412898,27.5338322,"rufivirgatus","ruf_rufivirgatus",49019
"Gulf",-97.7792477,27.1409196,"rufivirgatus","ruf_rufivirgatus",49382
"Gulf",-98.409133,26.2243892,"rufivirgatus","ruf_rufivirgatus",49535
"Gulf",-97.7609582,27.1590663,"rufivirgatus","ruf_rufivirgatus",50369
"Gulf",-97.9607974,26.1194771,"rufivirgatus","ruf_rufivirgatus",50817
"Gulf",-98.1917667,27.5962669,"rufivirgatus","ruf_rufivirgatus",51286
"Gulf",-100.3116131,28.497085,"rufivirgatus","ruf_rufivirgatus",51869
"Gulf",-100.4112351,29.6408069,"rufivirgatus","ruf_rufivirgatus",51988
"Gulf",-97.3917389,26.2207511,"rufivirgatus","ruf_rufivirgatus",52349
"Gulf",-97.2647249,26.0221977,"rufivirgatus","ruf_rufivirgatus",52382
"Gulf",-97.701416,26.1505072,"rufivirgatus","ruf_rufivirgatus",52397
"Gulf",-98.1277054,26.0771557,"rufivirgatus","ruf_rufivirgatus",52435
"Gulf",-99.5343089,29.623161,"rufivirgatus","ruf_rufivirgatus",52762
"Gulf",-98.3760946,26.2429663,"rufivirgatus","ruf_rufivirgatus",52990
"Gulf",-97.5286603,28.8680526,"rufivirgatus","ruf_rufivirgatus",53123
"Gulf",-97.8002501,28.413012,"rufivirgatus","ruf_rufivirgatus",53171
"Gulf",-98.1698746,26.0826947,"rufivirgatus","ruf_rufivirgatus",53178
"Gulf",-99.9979932,26.1979354,"rufivirgatus","ruf_rufivirgatus",53283
"Gulf",-98.2309932,26.176876,"rufivirgatus","ruf_rufivirgatus",53508
"Gulf",-101.4093447,27.9670574,"rufivirgatus","ruf_rufivirgatus",53527
"Gulf",-97.949812,23.790454,"rufivirgatus","ruf_rufivirgatus",53745
"Gulf",-100.838005,29.351362,"rufivirgatus","ruf_rufivirgatus",53784
"Gulf",-99.1663777,26.5410312,"rufivirgatus","ruf_rufivirgatus",53804
"Gulf",-99.0189583,26.4052015,"rufivirgatus","ruf_rufivirgatus",53841
"Gulf",-99.8347704,28.6046954,"rufivirgatus","ruf_rufivirgatus",53880
"Gulf",-100.4371684,29.6101601,"rufivirgatus","ruf_rufivirgatus",53915
"Gulf",-100.8747482,29.3692356,"rufivirgatus","ruf_rufivirgatus",53951
"Gulf",-97.3971033,25.8647355,"rufivirgatus","ruf_rufivirgatus",53975
"Gulf",-100.3330629,26.6484104,"rufivirgatus","ruf_rufivirgatus",54030
"Gulf",-100.935452,29.350029,"rufivirgatus","ruf_rufivirgatus",54052
"Gulf",-97.4550178,26.3255812,"rufivirgatus","ruf_rufivirgatus",54250
"Gulf",-99.1834867,28.913667,"rufivirgatus","ruf_rufivirgatus",54288
"Gulf",-100.8589554,29.3561448,"rufivirgatus","ruf_rufivirgatus",54414
"Gulf",-100.3235757,29.2806906,"rufivirgatus","ruf_rufivirgatus",54716
"Gulf",-98.1518142,26.1043451,"rufivirgatus","ruf_rufivirgatus",54798
"Gulf",-101.044693,29.5768833,"rufivirgatus","ruf_rufivirgatus",54892
"Gulf",-98.350811,26.1683803,"rufivirgatus","ruf_rufivirgatus",55025
"Gulf",-97.5775409,26.0836708,"rufivirgatus","ruf_rufivirgatus",55071
"Gulf",-98.4079313,28.4793571,"rufivirgatus","ruf_rufivirgatus",55211
"Gulf",-99.4944084,27.4994356,"rufivirgatus","ruf_rufivirgatus",55225
"Gulf",-98.140794,26.9434385,"rufivirgatus","ruf_rufivirgatus",55377
"Gulf",-100.7526541,29.2562257,"rufivirgatus","ruf_rufivirgatus",55623
"Gulf",-97.8555927,27.4910052,"rufivirgatus","ruf_rufivirgatus",55671
"Gulf",-98.0653381,26.1874829,"rufivirgatus","ruf_rufivirgatus",55757
"Gulf",-97.6344115,26.6785185,"rufivirgatus","ruf_rufivirgatus",55836
"Gulf",-97.9801941,26.1474254,"rufivirgatus","ruf_rufivirgatus",55876
"Gulf",-99.1478348,28.9057033,"rufivirgatus","ruf_rufivirgatus",55958
"Gulf",-98.424953,27.864459,"rufivirgatus","ruf_rufivirgatus",56282
"Gulf",-98.5621262,26.7257307,"rufivirgatus","ruf_rufivirgatus",56369
"Gulf",-98.3664322,26.1718467,"rufivirgatus","ruf_rufivirgatus",56712
"Gulf",-99.7939682,28.2423962,"rufivirgatus","ruf_rufivirgatus",56827
"Gulf",-99.4905548,27.5118389,"rufivirgatus","ruf_rufivirgatus",57003
"Gulf",-98.7035751,27.5740255,"rufivirgatus","ruf_rufivirgatus",57018
"Gulf",-97.4760246,25.9405254,"rufivirgatus","ruf_rufivirgatus",57102
"Gulf",-97.9788637,26.1781631,"rufivirgatus","ruf_rufivirgatus",57128
"Gulf",-97.6622772,26.1961089,"rufivirgatus","ruf_rufivirgatus",57187
"Gulf",-97.3344678,26.1728626,"rufivirgatus","ruf_rufivirgatus",57245
"Gulf",-97.4161137,26.2204867,"rufivirgatus","ruf_rufivirgatus",57376
"Gulf",-99.1819096,29.6277682,"rufivirgatus","ruf_rufivirgatus",57764
"Gulf",-97.8532505,27.558656,"rufivirgatus","ruf_rufivirgatus",58015
"Gulf",-99.507122,27.565504,"rufivirgatus","ruf_rufivirgatus",58226
"Gulf",-97.9444024,28.2385572,"rufivirgatus","ruf_rufivirgatus",58264
"Gulf",-98.5846275,26.7395566,"rufivirgatus","ruf_rufivirgatus",58322
"Gulf",-98.2521486,26.405785,"rufivirgatus","ruf_rufivirgatus",58379
"Gulf",-99.0040308,28.4879554,"rufivirgatus","ruf_rufivirgatus",58439
"Gulf",-97.7728271,26.0870048,"rufivirgatus","ruf_rufivirgatus",58467
"Gulf",-97.3952261,26.2969571,"rufivirgatus","ruf_rufivirgatus",58524
"Gulf",-98.5144583,27.6611952,"rufivirgatus","ruf_rufivirgatus",58829
"Gulf",-97.4286461,26.2552286,"rufivirgatus","ruf_rufivirgatus",58902
"Gulf",-98.6283583,26.7962067,"rufivirgatus","ruf_rufivirgatus",58918
"Gulf",-98.3422279,26.1760833,"rufivirgatus","ruf_rufivirgatus",59127
"Gulf",-97.78936,26.08675,"rufivirgatus","ruf_rufivirgatus",59188
"Gulf",-98.0723763,26.3396145,"rufivirgatus","ruf_rufivirgatus",59274
"Gulf",-99.4774783,27.4768284,"rufivirgatus","ruf_rufivirgatus",59562
"Gulf",-97.7263333,28.4109917,"rufivirgatus","ruf_rufivirgatus",59671
"Gulf",-97.7916318,26.9251394,"rufivirgatus","ruf_rufivirgatus",59696
"Gulf",-99.524794,27.62717,"rufivirgatus","ruf_rufivirgatus",59806
"Gulf",-97.862802,26.451578,"rufivirgatus","ruf_rufivirgatus",59922
"Gulf",-97.6533079,27.2207464,"rufivirgatus","ruf_rufivirgatus",60057
"Gulf",-98.1765747,27.6713665,"rufivirgatus","ruf_rufivirgatus",60132
"Gulf",-99.7210121,29.5133455,"rufivirgatus","ruf_rufivirgatus",60212
"Gulf",-97.2986984,25.9603598,"rufivirgatus","ruf_rufivirgatus",60326
"Gulf",-98.678009,27.3100604,"rufivirgatus","ruf_rufivirgatus",60341
"Gulf",-98.2427502,28.6493944,"rufivirgatus","ruf_rufivirgatus",60424
"Gulf",-100.0165272,29.685182,"rufivirgatus","ruf_rufivirgatus",60483
"Gulf",-99.8348908,28.5032916,"rufivirgatus","ruf_rufivirgatus",60810
"Gulf",-99.8796272,29.1909075,"rufivirgatus","ruf_rufivirgatus",60912
"Gulf",-100.491241,29.327982,"rufivirgatus","ruf_rufivirgatus",60936
"Gulf",-96.8483,28.4387,"rufivirgatus","ruf_rufivirgatus",61090
"Gulf",-97.8675842,26.0703529,"rufivirgatus","ruf_rufivirgatus",61409
"Gulf",-100.0310326,29.1825899,"rufivirgatus","ruf_rufivirgatus",61615
"Gulf",-97.5362778,25.9494011,"rufivirgatus","ruf_rufivirgatus",61680
"Gulf",-100.3989029,29.8135402,"rufivirgatus","ruf_rufivirgatus",61846
"Gulf",-98.01748,28.98275,"rufivirgatus","ruf_rufivirgatus",61943
"Gulf",-97.4468422,25.8142763,"rufivirgatus","ruf_rufivirgatus",62107
"Gulf",-97.7045059,26.1647982,"rufivirgatus","ruf_rufivirgatus",62149
"Gulf",-100.0638199,28.4043868,"rufivirgatus","ruf_rufivirgatus",62287
"Gulf",-98.5340595,26.2889518,"rufivirgatus","ruf_rufivirgatus",62451
"Gulf",-98.5296392,28.3970444,"rufivirgatus","ruf_rufivirgatus",62574
"Gulf",-97.975791,26.5105036,"rufivirgatus","ruf_rufivirgatus",62724
"Gulf",-98.5555309,26.6819618,"rufivirgatus","ruf_rufivirgatus",62872
"Gulf",-97.382984,25.930514,"rufivirgatus","ruf_rufivirgatus",62873
"Gulf",-98.3378935,26.1922196,"rufivirgatus","ruf_rufivirgatus",62946
"Gulf",-97.9532511,26.1256099,"rufivirgatus","ruf_rufivirgatus",63022
"Gulf",-99.46642,29.31744,"rufivirgatus","ruf_rufivirgatus",63067
"Gulf",-97.7893066,28.5459257,"rufivirgatus","ruf_rufivirgatus",63080
"Gulf",-100.2845764,29.2660349,"rufivirgatus","ruf_rufivirgatus",63090
"Gulf",-97.3587799,25.9370521,"rufivirgatus","ruf_rufivirgatus",63169
"Gulf",-98.3585358,26.2687883,"rufivirgatus","ruf_rufivirgatus",63267
"Gulf",-99.8881674,30.397679,"rufivirgatus","ruf_rufivirgatus",63271
"Gulf",-98.7622833,26.4414498,"rufivirgatus","ruf_rufivirgatus",63396
"Gulf",-98.1762528,28.0535187,"rufivirgatus","ruf_rufivirgatus",63712
"Gulf",-97.7206421,26.7161738,"rufivirgatus","ruf_rufivirgatus",63868
"Gulf",-100.1187193,28.6306562,"rufivirgatus","ruf_rufivirgatus",64132
"Gulf",-98.1899643,28.0406221,"rufivirgatus","ruf_rufivirgatus",64134
"Gulf",-98.4153557,26.1853263,"rufivirgatus","ruf_rufivirgatus",64172
"Gulf",-99.7719955,30.4889916,"rufivirgatus","ruf_rufivirgatus",64250
"Gulf",-97.9966736,29.0481414,"rufivirgatus","ruf_rufivirgatus",64328
